x,y,z,size
5.1,3.5,1.4,0.437086107
4.9,3,1.4,0.955642876
4.7,3.2,1.3,0.758794548
4.6,3.1,1.5,0.638792636
5,3.6,1.4,0.240416776
5.4,3.9,1.7,0.240395068
4.6,3.4,1.4,0.152275251
5,3.4,1.5,0.879558531
4.4,2.9,1.4,0.641003511
4.9,3.1,1.5,0.73726532
5.4,3.7,1.5,0.118526045
4.8,3.4,1.6,0.972918867
4.8,3,1.4,0.849198377
4.3,3,1.1,0.2911052
5.8,4,1.2,0.26364247
5.7,4.4,1.5,0.265064059
5.4,3.9,1.3,0.373818019
5.1,3.5,1.4,0.572280788
5.7,3.8,1.7,0.488750517
5.1,3.8,1.5,0.362106226
5.4,3.4,1.7,0.650667605
5.1,3.7,1.5,0.225544475
4.6,3.6,1,0.362930184
5.1,3.3,1.7,0.429725659
4.8,3.4,1.9,0.510462986
5,3,1.6,0.806658365
5,3.4,1.6,0.279706404
5.2,3.5,1.5,0.562810995
5.2,3.4,1.4,0.633173112
4.7,3.2,1.6,0.141805371
4.8,3.1,1.6,0.646790367
5.4,3.4,1.5,0.253471711
5.2,4.1,1.5,0.158546434
5.5,4.2,1.4,0.953996984
4.9,3.1,1.5,0.96906883
5,3.2,1.2,0.827557613
5.5,3.5,1.3,0.374152392
4.9,3.1,1.5,0.187904903
4.4,3,1.3,0.715809724
5.1,3.4,1.5,0.496137244
5,3.5,1.3,0.209834411
4.5,2.3,1.3,0.545659219
4.4,3.2,1.3,0.130949669
5,3.5,1.6,0.918388362
5.1,3.8,1.9,0.332901983
4.8,3,1.4,0.696270056
5.1,3.8,1.6,0.380539968
4.6,3.2,1.4,0.568061219
5.3,3.7,1.5,0.592039251
5,3.3,1.4,0.26636901
7,3.2,4.7,0.972626165
6.4,3.2,4.5,0.797619541
6.9,3.1,4.9,0.945549047
5.5,2.3,4,0.905344615
6.5,2.8,4.6,0.638109981
5.7,2.8,4.5,0.929686812
6.3,3.3,4.7,0.179643252
4.9,2.4,3.3,0.276384576
6.6,2.9,4.6,0.14070456
5.2,2.7,3.9,0.392797298
5,2,3.5,0.449809561
5.9,3,4.2,0.344214129
6,2.2,4,0.845863758
6.1,2.9,4.7,0.421077994
5.6,2.9,3.6,0.352841059
6.7,3.1,4.4,0.588426475
5.6,3,4.5,0.226831802
5.8,2.7,4.1,0.821977283
6.2,2.2,4.5,0.167095579
5.6,2.5,3.9,0.988198243
5.9,3.2,4.8,0.795020292
6.1,2.8,4,0.278844113
6.3,2.5,4.9,0.104969905
6.1,2.8,4.7,0.833915286
6.4,2.9,4.3,0.736171609
6.6,3,4.4,0.756106451
6.8,2.8,4.8,0.794143312
6.7,3,5,0.166640187
6,2.9,4.5,0.422619156
5.7,2.6,3.5,0.204282154
5.5,2.4,3.8,0.876793083
5.5,2.4,3.7,0.660968314
5.8,2.7,3.9,0.397808222
6,2.7,5.1,0.157202515
5.4,3,4.5,0.37988409
6,3.4,4.5,0.39266499
6.7,3.1,4.7,0.756645561
6.3,2.3,4.4,0.673801724
5.6,3,4.1,0.898491468
5.5,2.5,4,0.524993433
5.5,2.6,4.4,0.207634821
6.1,3,4.6,0.741920309
5.8,2.6,4,0.784706544
5,2.3,3.3,0.605149478
5.6,2.7,4.2,0.793870462
5.7,3,4.2,0.544416037
5.7,2.9,4.2,0.570459546
6.2,2.9,4.3,0.484786917
5.1,2.5,3,0.122877214
5.7,2.8,4.1,0.197102284
6.3,3.3,6,0.128286267
5.8,2.7,5.1,0.67276937
7.1,3,5.9,0.382920383
6.3,2.9,5.6,0.557713622
6.5,3,5.8,0.916809827
7.6,3,6.6,0.324363006
4.9,2.5,4.5,0.469344631
7.3,2.9,6.3,0.779996025
6.7,2.5,5.8,0.305918349
7.2,3.6,6.1,0.169281919
6.5,3.2,5.1,0.360776308
6.4,2.7,5.3,0.245099159
6.8,3,5.5,0.936727887
5.7,2.5,5,0.827308342
5.8,2.8,5.1,0.670063381
6.4,3.2,5.3,0.884314531
6.5,3,5.5,0.823304869
7.7,3.8,6.7,0.267913053
7.7,2.6,6.9,0.903303099
6,2.2,5,0.585408018
6.9,3.2,5.7,0.82669614
5.6,2.8,4.9,0.90648217
7.7,2.8,6.7,0.386203127
6.3,2.7,4.9,0.199046732
6.7,3.3,5.7,0.305141646
7.2,3.2,6,0.48439701
6.2,2.8,4.8,0.836213289
6.1,3,4.9,0.874657525
6.4,2.8,5.6,0.106256917
7.2,3,5.8,0.559672572
7.4,2.8,6.1,0.475669903
7.9,3.8,6.4,0.299897029
6.4,2.8,5.6,0.207878831
6.3,2.8,5.1,0.403853654
6.1,2.6,5.6,0.948618734
7.7,3,6.1,0.390882639
6.3,3.4,5.6,0.56691156
6.4,3.1,5.5,0.732717063
6,3,4.8,0.427266642
6.9,3.1,5.4,0.974603874
6.7,3.1,5.6,0.966202565
6.9,3.1,5.1,0.326604066
5.8,2.7,5.1,0.547523655
6.8,3.2,5.9,0.370790479
6.7,3.3,5.7,0.356356445
6.7,3,5.2,0.133198253
6.3,2.5,5,0.648607901
6.5,3,5.2,0.552411121
6.2,3.4,5.4,0.146330876
5.9,3,5.1,0.350781818
